,Long,Short
2010-01-04,0.011320076215570563,1.0
2010-01-05,0.01570890843884056,1.0
2010-01-06,0.0016805322296291614,1.0
2010-01-07,0.005861518275337563,1.0
2010-01-08,0.008535889430016064,1.0
2010-01-11,-0.010295020922078513,1.0
2010-01-12,-0.0021241071347461115,1.0
2010-01-13,0.008652783756194216,1.0
2010-01-14,0.005809754214905838,1.0
2010-01-15,-0.00696558212919206,1.0
2010-01-19,0.010890865803710459,1.0
2010-01-20,-0.002340866930358965,1.0
2010-01-21,-0.019941506636374885,1.0
2010-01-22,-0.023086341916383247,1.0
2010-01-25,-0.0030148232318533918,1.0
2010-01-26,-0.00035466205956031783,1.0
2010-01-27,0.007399284813040019,1.0
2010-01-28,-0.018117510903426802,1.0
2010-01-29,-0.022917822717053792,1.0
2010-02-01,0.009833781794590513,1.0
2010-02-02,0.011241258335140215,1.0
2010-02-03,-0.0032030138014765065,1.0
2010-02-04,-0.028385480124146267,1.0
2010-02-05,0.0007734694650378349,1.0
2010-02-08,-0.0009372892133635236,1.0
2010-02-09,-0.00470191095972059,1.0
2010-02-10,0.0050797885655210154,1.0
2010-02-11,0.013663755816273082,1.0
2010-02-12,0.010794417691988944,1.0
2010-02-16,0.0068981611553982965,1.0
2010-02-17,0.007103049228027547,1.0
2010-02-18,0.01252398635441614,1.0
2010-02-19,0.007411943561597712,1.0
2010-02-22,-0.010343350490647918,1.0
2010-02-23,-0.011694080139183705,1.0
2010-02-24,0.01009812770097629,1.0
2010-02-25,0.013273872531061692,1.0
2010-02-26,-0.0009855213512270922,1.0
2010-03-01,0.00851362852599099,1.0
2010-03-02,0.002872781215979325,1.0
2010-03-03,-0.0002013868380905115,1.0
2010-03-04,0.001654130646017049,1.0
2010-03-05,0.007095562600579186,1.0
2010-03-08,-0.004597330765369434,1.0
2010-03-09,0.005223093566748815,1.0
2010-03-10,0.008142105157828438,1.0
2010-03-11,0.010446800402815048,1.0
2010-03-12,-0.0006345118162501163,1.0
2010-03-15,0.004787162325096827,1.0
2010-03-16,0.005808535135108528,1.0
2010-03-17,0.0004059595300785479,1.0
2010-03-18,-0.009986056531030418,1.0
2010-03-19,0.0,1.0
2010-03-22,0.01705567079003545,1.0
2010-03-23,0.006438077526596664,1.0
2010-03-24,-0.0010296797290604508,1.0
2010-03-25,-0.0177506785994463,1.0
2010-03-26,-0.001616129637806296,1.0
2010-03-29,0.0034237441376387956,1.0
2010-03-30,0.0029632640132685626,1.0
2010-03-31,0.0016665963638736402,1.0
2010-04-01,0.005248423825182325,1.0
2010-04-05,0.01012134930059153,1.0
2010-04-06,-6.915056974928779e-05,1.0
2010-04-07,7.085519518644779e-05,1.0
2010-04-08,0.011240664654578746,1.0
2010-04-09,-0.0009532285654532235,1.0
2010-04-12,0.0005451031898635495,1.0
2010-04-13,0.002420124023680825,1.0
2010-04-14,0.004045451371360498,1.0
2010-04-15,-0.001179480113289455,1.0
2010-04-16,-0.007916402710852321,1.0
2010-04-19,0.013875077478414655,1.0
2010-04-20,0.013133021757962682,1.0
2010-04-21,0.00026899124114596604,1.0
2010-04-22,0.010917360182388947,1.0
2010-04-23,0.013618817659707105,1.0
2010-04-26,0.0009519278410663023,1.0
2010-04-27,-0.026464955152329283,1.0
2010-04-28,0.004647863176708855,1.0
2010-04-29,-0.0023787012603576295,1.0
2010-04-30,-0.014452621361088224,1.0
2010-05-03,0.012125405229730657,1.0
2010-05-04,-0.014991950516040308,1.0
2010-05-05,0.003505997471429789,1.0
2010-05-06,-0.03184005561048205,1.0
2010-05-07,-0.018773917098300695,1.0
2010-05-10,0.005146196150645321,1.0
2010-05-11,0.003140629210497392,1.0
2010-05-12,0.011070428131993427,1.0
2010-05-13,-0.010597558499706361,1.0
2010-05-14,-0.012800410420475283,1.0
2010-05-17,-0.002728306110437484,1.0
2010-05-18,-0.025382192441080066,1.0
2010-05-19,-0.007657653151747457,1.0
2010-05-20,-0.02279861694248998,1.0
2010-05-21,0.03619387356994752,1.0
2010-05-24,-0.013172522580651158,1.0
2010-05-25,0.03408341681779577,1.0
2010-05-26,-0.013153096672436415,1.0
2010-05-27,0.01883353900809832,1.0
2010-05-28,-0.015325680050577318,1.0
2010-06-01,-0.0266299891705577,1.0
2010-06-02,0.02878321902291745,1.0
2010-06-03,0.005042371005908064,1.0
