,Long,Short
2015-01-02,-0.005787013767364846,1.0
2015-01-05,-0.014237602662818316,1.0
2015-01-06,-0.011994193968561051,1.0
2015-01-07,0.004474617125962743,1.0
2015-01-08,0.011576857064198864,1.0
2015-01-09,-0.011713231986425644,1.0
2015-01-12,-0.013472883742468456,1.0
2015-01-13,-0.010997633249187688,1.0
2015-01-14,0.008987777504483064,1.0
2015-01-15,-0.020584503910803353,1.0
2015-01-16,0.017396405537388325,1.0
2015-01-20,-0.007183766584366358,1.0
2015-01-21,0.010376228770002239,1.0
2015-01-22,0.013140013083240708,1.0
2015-01-23,-0.0044769655006891675,1.0
2015-01-26,0.008716961597489348,1.0
2015-01-27,0.003830324334162394,1.0
2015-01-28,-0.021857279540087225,1.0
2015-01-29,0.0060330261656662,1.0
2015-01-30,-0.002846322778814925,1.0
2015-02-02,0.006563457484183788,1.0
2015-02-03,0.015315202117793913,1.0
2015-02-04,0.001235384126422101,1.0
2015-02-05,-0.0058894802360367595,1.0
2015-02-06,-0.0057686312500213385,1.0
2015-02-09,-0.0011105503192293976,1.0
2015-02-10,0.0038036196177848257,1.0
2015-02-11,0.0027264859852523804,1.0
2015-02-12,0.0036598024879206936,1.0
2015-02-13,0.005482278414296093,1.0
2015-02-17,0.007040463057379531,1.0
2015-02-18,0.005455003833003169,1.0
2015-02-19,0.0024685077129113497,1.0
2015-02-20,0.004988104500223767,1.0
2015-02-23,0.0002978181709921701,1.0
2015-02-24,-0.0012191324739934228,1.0
2015-02-25,0.00014558115849065966,1.0
2015-02-26,-0.0006311310394557679,1.0
2015-02-27,0.0014565027298965693,1.0
2015-03-02,0.0074587773398685385,1.0
2015-03-03,-0.0006392564051576844,1.0
2015-03-04,0.0006618890820679457,1.0
2015-03-05,-0.0014070942287360611,1.0
2015-03-06,-0.012256354769063282,1.0
2015-03-09,0.0007594726800756124,1.0
2015-03-10,-0.008768229214723654,1.0
2015-03-11,0.005613146166940264,1.0
2015-03-12,0.003108585514844531,1.0
2015-03-13,-0.005742209093292994,1.0
2015-03-16,0.009299954632328966,1.0
2015-03-17,0.002160590965268627,1.0
2015-03-18,0.013514227816931457,1.0
2015-03-19,0.0019754645892288702,1.0
2015-03-20,0.006475432692682392,1.0
2015-03-23,-0.00031982747665436627,1.0
2015-03-24,-0.002933175538022048,1.0
2015-03-25,-0.01338131172451954,1.0
2015-03-26,0.001973735389738651,1.0
2015-03-27,0.002266021608087254,1.0
2015-03-30,0.005697056678827273,1.0
2015-03-31,0.0015149943560452072,1.0
2015-04-01,-0.0027896122336121265,1.0
2015-04-02,0.0025011650051445676,1.0
2015-04-06,0.02014832664161843,1.0
2015-04-07,-0.009202674143829415,1.0
2015-04-08,0.004422153767570225,1.0
2015-04-09,0.008359705581381337,1.0
2015-04-10,0.0006242690959024633,1.0
2015-04-13,-0.005168495205073153,1.0
2015-04-14,0.0010735282156744796,1.0
2015-04-15,0.004851865919008325,1.0
2015-04-16,-0.003043247172544716,1.0
