,Long,Short
1997-01-02,0.013498964522138713,1.0
1997-01-03,0.0004822593234819816,1.0
1997-01-06,0.00639699449630472,1.0
1997-01-07,-0.015006537774244965,1.0
1997-01-08,0.008002029056353254,1.0
1997-01-09,0.00931608239540993,1.0
1997-01-10,-0.012194312407804563,1.0
1997-01-13,0.018340951921676573,1.0
1997-01-14,0.0016665028336566134,1.0
1997-01-15,-0.0010722957419546319,1.0
1997-01-16,0.005779781821825913,1.0
1997-01-17,-0.0022784257013453435,1.0
1997-01-20,0.025268391970542526,1.0
1997-01-21,0.006172871683468384,1.0
1997-01-22,-0.016424821743125362,1.0
1997-01-23,-0.002471071898104538,1.0
1997-01-24,-0.0022262602134022424,1.0
1997-01-27,-0.003867989426320062,1.0
1997-01-28,0.008896409207767575,1.0
1997-01-29,0.006216494400399064,1.0
1997-01-30,0.008023560757538684,1.0
1997-01-31,-0.015072663487367466,1.0
1997-02-03,0.0070411591981006105,1.0
1997-02-04,-0.010664026593038344,1.0
1997-02-05,0.004774073004296842,1.0
1997-02-06,0.006969785190993294,1.0
1997-02-07,0.005700579701165098,1.0
1997-02-10,0.006322601630736935,1.0
1997-02-11,0.003923628502822574,1.0
1997-02-12,0.0063788936152665565,1.0
1997-02-13,0.0018682217663973377,1.0
1997-02-14,0.004411403388282375,1.0
1997-02-18,-0.0012403223169521582,1.0
1997-02-19,-0.00838778359780663,1.0
1997-02-20,0.0018424731272056682,1.0
1997-02-21,0.01393101268500252,1.0
1997-02-24,0.013000757774829286,1.0
1997-02-25,-0.014623649056924991,1.0
1997-02-26,-0.005890453762726089,1.0
1997-02-27,0.00021629882517192333,1.0
1997-02-28,0.012664719947625736,1.0
1997-03-03,-0.011560369901338996,1.0
1997-03-04,0.002102532374440735,1.0
1997-03-05,-0.015020844353446795,1.0
1997-03-06,0.01436278570005034,1.0
1997-03-07,0.005932486508187296,1.0
1997-03-10,-0.0023671024638773795,1.0
1997-03-11,0.00033830404409433966,1.0
1997-03-12,-0.010660285042380101,1.0
1997-03-13,0.011742424114706917,1.0
1997-03-14,-0.0010534617828586,1.0
1997-03-17,-0.00561302020542459,1.0
1997-03-18,-0.007896831332834697,1.0
1997-03-19,0.0014755910625371183,1.0
1997-03-20,-0.007586153187958367,1.0
1997-03-21,0.0038557820566928356,1.0
1997-03-24,-0.012564768643676305,1.0
1997-03-25,0.0030559111652447178,1.0
1997-03-26,-0.03378239563449116,1.0
1997-03-27,-0.013870767041882736,1.0
1997-03-31,-0.010115790281982428,1.0
1997-04-01,-0.005758500789859689,1.0
1997-04-02,0.017395093201700084,1.0
1997-04-03,0.030545521181366463,1.0
1997-04-04,0.0063972962758014566,1.0
1997-04-07,0.003122141785435617,1.0
1997-04-08,-0.009297994683258903,1.0
1997-04-09,0.003437957226115562,1.0
1997-04-10,-0.023366474874681055,1.0
1997-04-11,0.00042069133146088733,1.0
1997-04-14,-0.003537270239714374,1.0
1997-04-15,0.008411534818191967,1.0
1997-04-16,0.0005278737406993583,1.0
1997-04-17,-0.010632904815086653,1.0
1997-04-18,-0.005365795249638561,1.0
1997-04-21,-0.0055992463782430614,1.0
1997-04-22,0.007327450586013762,1.0
1997-04-23,-0.013553647276429426,1.0
1997-04-24,-0.017000991896049568,1.0
1997-04-25,0.0070182460682055355,1.0
1997-04-28,0.007509476907439116,1.0
1997-04-29,0.004312994291198424,1.0
1997-04-30,0.0021542590977847165,1.0
1997-05-01,0.017631582904296672,1.0
1997-05-02,0.002704680161590589,1.0
1997-05-05,-0.01096593412216429,1.0
1997-05-06,-0.008845459043123694,1.0
1997-05-07,0.012417857941443478,1.0
1997-05-08,-0.010126606441410346,1.0
1997-05-09,0.0032539350590133687,1.0
1997-05-12,-0.007754119046766339,1.0
1997-05-13,0.0033280794230139965,1.0
1997-05-14,0.01812064678606502,1.0
1997-05-15,-0.0031415989527310505,1.0
1997-05-16,-0.0010229310982198703,1.0
1997-05-19,0.008642077480001875,1.0
1997-05-20,-0.022139262114514956,1.0
1997-05-21,0.0022777122808210646,1.0
1997-05-22,0.004072126479294958,1.0
1997-05-23,-0.0001473314385722957,1.0
1997-05-27,0.004264021139830732,1.0
1997-05-28,0.005117638047691398,1.0
1997-05-29,0.008784973279725028,1.0
1997-05-30,0.005476721994444956,1.0
1997-06-02,-0.023144292589736437,1.0
1997-06-03,0.0049170883689557575,1.0
1997-06-04,-0.004838962840442096,1.0
1997-06-05,0.016635164900998256,1.0
1997-06-06,-0.009910357450702411,1.0
1997-06-09,0.00176470357024191,1.0
1997-06-10,0.0005234854868412131,1.0
1997-06-11,0.011695191955369966,1.0
1997-06-12,0.0019537032926357,1.0
1997-06-13,-0.013174349927751728,1.0
1997-06-16,0.004138876932321234,1.0
1997-06-17,0.0073550938161856426,1.0
1997-06-18,0.007373013212724933,1.0
1997-06-19,-0.0131813036267455,1.0
1997-06-20,-0.016545446830152223,1.0
1997-06-23,0.007947010779018914,1.0
1997-06-24,-0.013056176357409077,1.0
1997-06-25,-0.003330597745731334,1.0
1997-06-26,0.0060008207627813785,1.0
1997-06-27,0.0032617806418139272,1.0
1997-06-30,-0.0152019833700494,1.0
1997-07-01,0.007847285836230233,1.0
1997-07-02,-0.0034542135535725717,1.0
1997-07-03,-0.006522679996896918,1.0
1997-07-07,0.003638068686671525,1.0
1997-07-08,-0.01365995035938743,1.0
1997-07-09,0.005218080277649739,1.0
1997-07-10,-8.000358291376797e-05,1.0
1997-07-11,0.010385733037399947,1.0
1997-07-14,0.004798832331007719,1.0
1997-07-15,0.009678405442431304,1.0
1997-07-16,-0.002012559602090058,1.0
1997-07-17,-0.006684239398544356,1.0
1997-07-18,-0.002980176914359922,1.0
1997-07-21,0.009674836212377236,1.0
1997-07-22,0.010861979478332905,1.0
1997-07-23,0.007442316102881952,1.0
1997-07-24,-0.010800194830770837,1.0
1997-07-25,0.0009068685368753715,1.0
1997-07-28,0.0014678473111275792,1.0
1997-07-29,0.006585194774231506,1.0
1997-07-30,-0.0003431934768917455,1.0
1997-07-31,0.011635705330719958,1.0
1997-08-01,-0.006933598144114939,1.0
1997-08-04,-0.0019379991165936361,1.0
1997-08-05,0.007053189925881709,1.0
1997-08-06,0.001206944488993067,1.0
1997-08-07,0.0004379760398452448,1.0
1997-08-08,0.0030812238853648367,1.0
1997-08-11,-0.006936049090862017,1.0
1997-08-12,-0.012978849436846374,1.0
1997-08-13,-0.013833487494284813,1.0
1997-08-14,-0.013492722579177973,1.0
1997-08-15,0.0013655978935009695,1.0
1997-08-18,0.0038628419160147698,1.0
1997-08-19,0.012275977393014604,1.0
1997-08-20,-0.020235347422560234,1.0
1997-08-21,0.0023015928777766702,1.0
1997-08-22,-0.008762936048767999,1.0
1997-08-25,-0.0032375107056918707,1.0
1997-08-26,0.008295182882694629,1.0
1997-08-27,-0.010630181519157966,1.0
1997-08-28,-0.0012253302625896301,1.0
1997-08-29,0.03661834188164037,1.0
1997-09-02,-0.0063416431667580155,1.0
1997-09-03,0.0016213665624184915,1.0
1997-09-04,-0.0029684956053891544,1.0
1997-09-05,-0.002898651897605653,1.0
1997-09-08,0.003028964054414418,1.0
1997-09-09,-0.008695491848510983,1.0
1997-09-10,-0.003540412838204532,1.0
1997-09-11,0.014946082426154538,1.0
1997-09-12,-0.004621029849407432,1.0
1997-09-15,0.013930217649474996,1.0
1997-09-16,-0.011379521028744455,1.0
1997-09-17,-0.0022027570743612503,1.0
1997-09-18,0.00640426172214269,1.0
1997-09-19,-0.0009939841933493177,1.0
1997-09-22,-0.006389428335389547,1.0
1997-09-23,-0.013043583638223577,1.0
1997-09-24,-0.0015258282278000856,1.0
1997-09-25,0.0038465448311564288,1.0
1997-09-26,0.003339533352296797,1.0
1997-09-29,0.00034840243130565,1.0
1997-09-30,0.0012056245161997658,1.0
1997-10-01,-0.0045710167051638325,1.0
1997-10-02,0.001564066800712971,1.0
1997-10-03,-0.012221951733514036,1.0
1997-10-06,0.00960809407380243,1.0
1997-10-07,-0.01523438503468898,1.0
1997-10-08,0.003942900624113732,1.0
1997-10-09,0.0021048268612142594,1.0
1997-10-10,0.008224079547041695,1.0
1997-10-13,-0.001728481239398816,1.0
1997-10-14,0.003479169087168432,1.0
1997-10-15,-0.007380256277583275,1.0
1997-10-16,-0.004680995745368943,1.0
1997-10-17,0.008190304988696695,1.0
1997-10-20,0.020055842833535075,1.0
1997-10-21,-0.0010572095267898484,1.0
1997-10-22,0.001037631943748052,1.0
1997-10-23,-0.015427248906888246,1.0
1997-10-24,-0.028653788369648204,1.0
1997-10-27,0.025435876629219756,1.0
1997-10-28,-0.013123463453147854,1.0
1997-10-29,-0.003066926564967443,1.0
1997-10-30,0.003930158010928231,1.0
1997-10-31,0.0075804036829486224,1.0
1997-11-03,0.003141652669773698,1.0
1997-11-04,-0.004134660939121027,1.0
1997-11-05,-0.02856354886459157,1.0
1997-11-06,-0.004526525398852876,1.0
1997-11-07,-0.02635728243014962,1.0
1997-11-10,-0.0008966992382169692,1.0
1997-11-11,0.0015101994436134026,1.0
1997-11-12,-0.007808477829353644,1.0
1997-11-13,0.011122431525467302,1.0
1997-11-14,0.005595302436121341,1.0
1997-11-17,-0.007920887328459525,1.0
1997-11-18,0.012818785970426494,1.0
1997-11-19,0.006933923858666369,1.0
1997-11-20,-0.005805396637074367,1.0
1997-11-21,-0.013690370451023314,1.0
1997-11-24,-0.00700072075732977,1.0
1997-11-25,0.007891349436738304,1.0
1997-11-26,0.011124550433473657,1.0
1997-11-28,0.000842888498808092,1.0
1997-12-01,-0.01918444226655709,1.0
1997-12-02,-0.0054868898968123084,1.0
1997-12-03,-0.005333427390205992,1.0
1997-12-04,0.008050508268143807,1.0
1997-12-05,-0.00908897372849431,1.0
1997-12-08,-0.0029340273470441548,1.0
1997-12-09,-0.0036529098456905993,1.0
1997-12-10,-0.0037241305201817453,1.0
1997-12-11,0.0024799835257439786,1.0
1997-12-12,0.01617889028424646,1.0
1997-12-15,-0.011882373728229001,1.0
1997-12-16,0.0033478703283523425,1.0
1997-12-17,-0.014670094572102277,1.0
1997-12-18,0.006965943356425153,1.0
1997-12-19,-0.007197748146379412,1.0
1997-12-22,-0.005539338207511002,1.0
1997-12-23,-0.006470077693977783,1.0
1997-12-24,-0.003058955137768449,1.0
1997-12-26,0.018154632787506862,1.0
1997-12-29,0.02270549500010286,1.0
1997-12-30,0.019003513273283167,1.0
