,Long,Short
2011-01-03,0.018179804209226304,1.0
2011-01-04,-0.007863552948753927,1.0
2011-01-05,-0.010253797062667635,1.0
2011-01-06,-0.0013757870760855774,1.0
2011-01-07,0.01695112497491027,1.0
2011-01-10,0.029630203536433374,1.0
2011-01-11,-0.00508973666417647,1.0
2011-01-12,-0.00552859610113744,1.0
2011-01-13,0.0033919335625279823,1.0
2011-01-14,-0.007231508309344192,1.0
2011-01-18,-0.015292030060146632,1.0
2011-01-19,0.018350130988138803,1.0
2011-01-20,0.005418096502827896,1.0
2011-01-21,0.06932318644637317,1.0
2011-01-24,0.07903933542638694,1.0
2011-01-25,-0.04060638428359833,1.0
2011-01-26,-0.004461944607855118,1.0
2011-01-27,-0.014703006789804973,1.0
2011-01-28,0.0047002741285043555,1.0
2011-01-31,0.020462700495700835,1.0
2011-02-01,0.023247398475677927,1.0
2011-02-02,0.06990536393293087,1.0
2011-02-03,-0.05157320834770377,1.0
2011-02-04,0.024417196982718693,1.0
2011-02-07,0.00040217647767276654,1.0
2011-02-08,-0.0006790124361569227,1.0
2011-02-09,0.009787511833357077,1.0
2011-02-10,0.022551838812630988,1.0
2011-02-11,-0.027941726856737303,1.0
2011-02-14,-0.007489520219698153,1.0
2011-02-15,0.011763324994984082,1.0
2011-02-16,0.023828731927048152,1.0
2011-02-17,0.004680050099806277,1.0
2011-02-18,-0.011431347963271799,1.0
2011-02-22,-0.00044339856591126827,1.0
2011-02-23,0.00908787762282529,1.0
2011-02-24,0.007894054883365743,1.0
2011-02-25,0.00034972823742730476,1.0
2011-02-28,-0.014639487296778452,1.0
2011-03-01,0.004290163276730341,1.0
2011-03-02,0.013186381758498445,1.0
2011-03-03,-0.005993945621692054,1.0
2011-03-04,-0.026918809346337013,1.0
2011-03-07,0.012302407000439542,1.0
2011-03-08,-0.002093330319706721,1.0
2011-03-09,-0.006254275674225718,1.0
2011-03-10,0.0024542509686177882,1.0
2011-03-11,-0.0035673344974695986,1.0
2011-03-14,0.013616370752260288,1.0
2011-03-15,-0.011970602362881578,1.0
2011-03-16,-0.02624508970757746,1.0
2011-03-17,-0.03911645790270155,1.0
2011-03-18,0.003681929629540581,1.0
2011-03-21,-0.02242356961265952,1.0
2011-03-22,0.005916545629093306,1.0
2011-03-23,-0.00034168211209205656,1.0
2011-03-24,0.0059730797088936695,1.0
2011-03-25,-0.0026767537484771566,1.0
2011-03-28,0.014157370574613037,1.0
2011-03-29,-0.017776210271434424,1.0
2011-03-30,-0.003527228383237768,1.0
2011-03-31,0.0026328388924307554,1.0
2011-04-01,-0.012358071101418478,1.0
2011-04-04,0.0017164712848404152,1.0
2011-04-05,-0.0006738117196736559,1.0
2011-04-06,0.018053124072867154,1.0
2011-04-07,-0.045371241244482684,1.0
2011-04-08,-0.014634927654290386,1.0
2011-04-11,-0.0002899511740700578,1.0
2011-04-12,-0.005428539524286791,1.0
2011-04-13,0.25757575349987255,1.0
2011-04-14,0.047421788139140796,1.0
2011-04-15,0.022023620755150908,1.0
2011-04-18,-0.03726262889215948,1.0
2011-04-19,-0.005293047038022814,1.0
2011-04-20,0.006159400735067211,1.0
2011-04-21,-0.00744896939002031,1.0
2011-04-25,0.011029201645834407,1.0
2011-04-26,-0.01056700369280188,1.0
2011-04-27,-0.022419988352941567,1.0
2011-04-28,0.017578071602080036,1.0
2011-04-29,0.003809893114943297,1.0
2011-05-02,-0.030117214218733812,1.0
2011-05-03,-0.006402547738909969,1.0
2011-05-04,0.056773037679701356,1.0
2011-05-05,0.001102229138206623,1.0
2011-05-06,0.02492386429220972,1.0
2011-05-09,0.003229027737699486,1.0
2011-05-10,-0.00023283071307784732,1.0
2011-05-11,0.005033085328542542,1.0
2011-05-12,-0.009279117282029436,1.0
2011-05-13,0.00605936135703794,1.0
2011-05-16,0.0023065304224729076,1.0
2011-05-17,0.00257010086878805,1.0
2011-05-18,-0.002598415484869121,1.0
2011-05-19,-0.017955148031607738,1.0
2011-05-20,-0.0015322631333409165,1.0
2011-05-23,-0.005914142772977793,1.0
2011-05-24,0.004781586156587114,1.0
2011-05-25,0.017457014706965014,1.0
2011-05-26,0.025725187279289574,1.0
2011-05-27,-0.006235133646762236,1.0
2011-05-31,-0.02848386216950042,1.0
2011-06-01,-0.0034121208461601825,1.0
2011-06-02,-0.009729732504654021,1.0
2011-06-03,-0.005514750951083103,1.0
2011-06-06,-0.0038857763847984115,1.0
2011-06-07,-0.0007516760396495514,1.0
2011-06-08,-0.017988566303005958,1.0
2011-06-09,0.0021185621981424487,1.0
2011-06-10,0.009767255129939766,1.0
2011-06-13,-7.556344775367929e-05,1.0
2011-06-14,-0.017902607750680765,1.0
2011-06-15,0.004423364262316843,1.0
2011-06-16,0.0007397902417108915,1.0
2011-06-17,0.012637504803695332,1.0
2011-06-20,-0.008243306636904956,1.0
2011-06-21,-0.0029683520214591197,1.0
2011-06-22,0.03621873888458216,1.0
2011-06-23,-0.01611913465927608,1.0
2011-06-24,-0.001379881094617097,1.0
2011-06-27,0.003853183661213677,1.0
2011-06-28,6.161599101339732e-06,1.0
2011-06-29,-0.01970578835054687,1.0
2011-06-30,0.013198859241889826,1.0
2011-07-01,0.015031920089830264,1.0
2011-07-05,-0.018432644431670298,1.0
2011-07-06,0.05347279078906998,1.0
2011-07-07,0.026165878019340272,1.0
2011-07-08,-0.05908910644573638,1.0
2011-07-11,0.056479902038384856,1.0
2011-07-12,0.024371090391847705,1.0
2011-07-13,0.020568890851131238,1.0
2011-07-14,0.05754397338982954,1.0
2011-07-15,-0.024163092060201407,1.0
2011-07-18,0.012754281150942548,1.0
2011-07-19,0.03769277975096739,1.0
2011-07-20,0.01808073106965944,1.0
2011-07-21,0.00569868351380991,1.0
2011-07-22,0.0039002730718352475,1.0
2011-07-25,0.003834252936302185,1.0
2011-07-26,-0.025223868196097777,1.0
2011-07-27,-0.008846422838717139,1.0
2011-07-28,-0.002490193686120146,1.0
2011-07-29,-0.01980829414669063,1.0
2011-08-01,-0.007316062974337578,1.0
2011-08-02,-0.013239413669768118,1.0
2011-08-03,-0.03405340547076614,1.0
2011-08-04,-0.009362918622396244,1.0
2011-08-05,-0.032155336792488776,1.0
2011-08-08,0.03834235572569149,1.0
2011-08-09,-0.061696384449233754,1.0
2011-08-10,0.023210033850791744,1.0
2011-08-11,-0.007045936495105975,1.0
2011-08-12,0.008612547494442157,1.0
2011-08-15,-0.009364032142956091,1.0
2011-08-16,-0.04338255487462572,1.0
2011-08-17,-0.012523870572801066,1.0
2011-08-18,0.001954641398358814,1.0
2011-08-19,-0.011022610153791879,1.0
2011-08-22,-8.334935322993343e-05,1.0
2011-08-23,-2.301555734163241e-05,1.0
2011-08-24,0.012786865553014481,1.0
2011-08-25,0.022293658244705073,1.0
2011-08-26,0.02186869540980386,1.0
2011-08-29,0.01066717429891434,1.0
2011-08-30,-0.01851535192776279,1.0
2011-08-31,-0.02400519101608114,1.0
2011-09-01,0.009459934277300696,1.0
2011-09-02,0.017272590971608347,1.0
2011-09-06,0.01208992961275963,1.0
2011-09-07,-0.020716813083267636,1.0
2011-09-08,0.011373168853365156,1.0
2011-09-09,-0.007487847163949979,1.0
2011-09-12,0.011985006078930749,1.0
2011-09-13,0.006956811383478712,1.0
2011-09-14,0.012890074093035908,1.0
2011-09-15,0.007373554927518589,1.0
2011-09-16,-0.015139325881120191,1.0
2011-09-19,-0.009938900901354098,1.0
2011-09-20,-0.032742043464973246,1.0
2011-09-21,-0.0029580647680902405,1.0
2011-09-22,0.009390657791580137,1.0
2011-09-23,0.010036258991072512,1.0
2011-09-26,-0.021962433907654687,1.0
2011-09-27,-0.014404603444302133,1.0
2011-09-28,-0.01022512786983686,1.0
2011-09-29,-0.022238332629003432,1.0
2011-09-30,-0.008190775019581409,1.0
2011-10-03,-0.009098073626779068,1.0
2011-10-04,0.026203794625710698,1.0
2011-10-05,0.04696999315738852,1.0
2011-10-06,-0.04789405396577906,1.0
2011-10-07,0.024416561788377356,1.0
2011-10-10,0.008100210905668658,1.0
2011-10-11,0.01603274585186194,1.0
2011-10-12,-0.010569698938293636,1.0
2011-10-13,-0.0019265097123911112,1.0
2011-10-14,-0.02856410912091075,1.0
2011-10-17,0.015313790758376699,1.0
2011-10-18,-0.01948600979062772,1.0
2011-10-19,0.019440093194274043,1.0
2011-10-20,0.005630622749936987,1.0
2011-10-21,0.007540332393608518,1.0
2011-10-24,-0.02322855416331705,1.0
2011-10-25,-0.000507287839244075,1.0
2011-10-26,0.018442384935462453,1.0
2011-10-27,-0.006816134936129936,1.0
2011-10-28,-0.035087525328790614,1.0
2011-10-31,-0.004324514783338673,1.0
2011-11-01,0.011993113028306013,1.0
2011-11-02,-0.0012396358474113579,1.0
2011-11-03,0.016255168067229264,1.0
2011-11-04,0.006881323490534663,1.0
2011-11-07,0.01770249964444136,1.0
2011-11-08,-0.02141921029220465,1.0
2011-11-09,-0.008999498655763539,1.0
2011-11-10,5.4679216767739015e-05,1.0
2011-11-11,-0.016404052232621712,1.0
2011-11-14,0.011238410565008749,1.0
2011-11-15,-0.005310538106844842,1.0
2011-11-16,-0.016138851823132815,1.0
2011-11-17,0.0020517529851709626,1.0
2011-11-18,-0.0021131955792251687,1.0
2011-11-21,-0.006173648715172042,1.0
2011-11-22,-0.009845090068707596,1.0
2011-11-23,0.002639996808368994,1.0
2011-11-25,-0.0017747193763739122,1.0
2011-11-28,-0.018606316922870757,1.0
2011-11-29,0.017599238223426118,1.0
2011-11-30,-0.016863385619415572,1.0
2011-12-01,-0.0032041223358445724,1.0
2011-12-02,0.004489223766329498,1.0
2011-12-05,0.002059821239803683,1.0
2011-12-06,0.012445816133654175,1.0
2011-12-07,-0.044743673266704975,1.0
2011-12-08,0.008850296515777744,1.0
2011-12-09,0.001505140454110454,1.0
2011-12-12,-0.0460266762206958,1.0
2011-12-13,0.004347187731676016,1.0
2011-12-14,0.0028786806115565387,1.0
2011-12-15,0.0070709538803993,1.0
2011-12-16,-0.01969021308651021,1.0
2011-12-19,0.021048645193559236,1.0
2011-12-20,0.037829081539809004,1.0
2011-12-21,-0.008019910536653485,1.0
2011-12-22,0.01722793765659041,1.0
